model,accuracy,precision,recall,macro_f1,weighted_f1,cv_mean,cv_std,inference_time_ms,train_time_sec
Voting Ensemble,0.9753,0.9755,0.9753,0.9754,0.9754,0.9719,0.0026,0.07,6.55
Stacking Ensemble,0.9747,0.9748,0.9747,0.9747,0.9747,0.9736,0.0033,0.042,15.68
Logistic Regression,0.9747,0.9749,0.9747,0.9747,0.9747,0.9747,0.0036,0.0,1.49
Random Forest,0.9727,0.9728,0.9727,0.9727,0.9727,0.9686,0.0011,0.013,0.53
Extra Trees,0.9717,0.9722,0.9717,0.9718,0.9718,0.9714,0.0034,0.017,0.29
Support Vector Machine,0.9717,0.9721,0.9717,0.9717,0.9717,0.9698,0.0031,0.277,3.16
Tuned Random Forest,0.971,0.9713,0.971,0.9711,0.9711,0.97,0.0024,0.036,1.04
XGBoost,0.9707,0.9708,0.9707,0.9707,0.9707,0.9679,0.0022,0.007,2.53
Gradient Boosting,0.9707,0.9708,0.9707,0.9707,0.9707,0.9689,0.0027,0.018,3.1
K-Nearest Neighbors,0.9573,0.9589,0.9573,0.9574,0.9574,0.9477,0.0022,0.571,0.01
Decision Tree,0.9383,0.9386,0.9383,0.9384,0.9384,0.9267,0.0031,0.001,0.21
